gamma,weightedFMeasure
0.0,0.926676520639196
1.0,0.023818312433042277
2.0,0.020492565853480475
3.0,0.01937587798358662
4.0,0.01937587798358662
5.0,0.01937587798358662
6.0,0.01937587798358662
7.0,0.01937587798358662
gamma,weightedFMeasure
0.1,0.926676520639196
0.2,0.10963322408691982
0.30000000000000004,0.05728026855954112
0.4,0.0389204348539299
0.5,0.027084323194858356
0.6,0.026003493446846822
0.7,0.023818312433042277
0.7999999999999999,0.023818312433042277
0.8999999999999999,0.023818312433042277
gamma,weightedFMeasure
0.01,0.926676520639196
0.02,0.8588689851684423
0.03,0.8119916285475773
0.04,0.7609961501203573
0.05,0.6958298517619328
0.060000000000000005,0.6264861087087202
0.07,0.5698999486422662
0.08,0.5179673799401676
0.09,0.4727317910363019
gamma,weightedFMeasure
0.001,0.926676520639196
0.002,0.9210177594847662
0.003,0.9234104811508194
0.004,0.9266968090923223
0.005,0.9251181768240757
0.006,0.9256029755902235
0.007,0.9235167864457482
0.008,0.9192273754050027
0.009000000000000001,0.9166602944581888
gamma,weightedFMeasure
0.0041,0.9255312043870196
0.004200000000000001,0.927761748405329
0.004300000000000001,0.9266443966312551
0.004400000000000001,0.9266635015830916
0.004500000000000001,0.9261038481187682
0.004600000000000002,0.9261402844680179
0.004700000000000002,0.925610778587965
0.004800000000000002,0.9245139808290656
0.0049000000000000024,0.9239911960299809
gamma,weightedFMeasure
0.00421,0.9255312043870196
0.00422,0.927761748405329
0.004229999999999999,0.9272096735684892
0.004239999999999999,0.9272096735684892
0.004249999999999999,0.9272096735684892
0.004259999999999998,0.9272096735684892
0.004269999999999998,0.9272096735684892
0.004279999999999997,0.9272096735684892
0.004289999999999997,0.9266443966312551
