** IB1 - HoldOut**
=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.95      0.006      0.95      0.95      0.95       0.972    0
                 0.956     0.009      0.925     0.956     0.94       0.973    1
                 0.966     0.006      0.945     0.966     0.956      0.98     2
                 0.917     0.023      0.817     0.917     0.864      0.947    3
                 0.933     0.006      0.944     0.933     0.939      0.964    4
                 0.828     0.015      0.856     0.828     0.842      0.906    5
                 0.961     0.004      0.961     0.961     0.961      0.978    6
                 0.867     0.011      0.897     0.867     0.881      0.928    7
                 0.782     0.011      0.886     0.782     0.831      0.885    8
                 0.764     0.028      0.751     0.764     0.758      0.868    9
Weighted Avg.    0.893     0.012      0.893     0.893     0.892      0.94 
** SVM - TUNED - HOLD OUT**
=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.917     0.001      0.994     0.917     0.954      0.958    0
                 0.983     0.006      0.947     0.983     0.965      0.989    1
                 0.994     0.002      0.978     0.994     0.986      0.996    2
                 0.911     0.009      0.916     0.911     0.914      0.951    3
                 0.967     0.012      0.897     0.967     0.93       0.977    4
                 0.922     0.011      0.907     0.922     0.915      0.956    5
                 0.939     0.001      0.988     0.939     0.963      0.969    6
                 0.922     0.008      0.927     0.922     0.925      0.957    7
                 0.849     0.008      0.921     0.849     0.884      0.921    8
                 0.876     0.021      0.821     0.876     0.848      0.928    9
Weighted Avg.    0.928     0.008      0.93      0.928     0.928      0.96 
